State ,Centre ,Variety , Unit,JAN 2017,FEB 2017,MAR 2017,APR 2017,MAY 2017,JUN 2017,JUL 2017,AUG 2017,SEP 2017,OCT 2017,NOV 2017,DEC 2017,JAN 2018,FEB 2018,MAR 2018,APR 2018,MAY 2018,JUN 2018,JUL 2018,AUG 2018,SEP 2018,OCT 2018,NOV 2018,DEC 2018,JAN 2019,FEB 2019,MAR 2019,APR 2019,MAY 2019,JUN 2019,JUL 2019,AUG 2019,SEP 2019,OCT 2019,NOV 2019,DEC 2019,JAN 2020,FEB 2020,MAR 2020,APR 2020,MAY 2020,JUN 2020,JUL 2020,AUG 2020,SEP 2020,OCT 2020,NOV 2020,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JUL 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,DEC 2021,JAN 2022,FEB 2022,MAR 2022,APR 2022,MAY 2022,JUN 2022,JUL 2022,AUG 2022,SEP 2022,OCT 2022,NOV 2022,DEC 2022
Assam,Guwahati,Kalyan HYV,Kg.,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,,,27,28,28,28,28,28,28,26,26,26,26,26,25,24,24,24,24,24,24,24,24,25,25,25,25,27,29,33,33,33,33
Assam,Silchar,Desi,Kg.,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,,,23,24,24,24,24,24,24,22,22,22,22,22,22,21,21,21,21,21,21,21,21,23,23,23,23,25,25,29,29,29,29
Assam,Silchar,Kalyan HYV,Kg.,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,,,27,28,28,28,28,28,28,26,26,26,26,26,26,24,24,24,24,24,24,24,24,27,27,27,27,27,29,33,33,33,33
Bihar,Gaya,Desi,Kg.,,,,,,,,,,,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,28,30,28,28,26,26,25,25,25,23,23,23,23,19,18,19,19,20,21,23,23,23,24,23,24,26,26,28,29,30,30,30,31,32
Bihar,Gaya,Kalyan HYV,Kg.,,,,,,,,,,,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,25,25,24,24,24,24,23,21,21,21,21,18,17,18,18,19,20,22,22,22,23,22,23,24,24,25,26,28,28,28,29,30
Bihar,Muzaffarpur,Desi,Kg.,,,22,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,Muzaffarpur,Kalyan HYV,Kg.,,,20,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,Patna,Desi,Kg.,27,27,26,26,25,23,23,23,24,24,26,25,24,24,24,24,25,25,25,26,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,26,26,26,25,25,25,25,23,22,22,21,22,23,23,24,24,25,25,26,26,26,26,28,30,28,28,30,32
Bihar,Patna,Kalyan HYV,Kg.,26,26,25,25,24,22,22,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,23,23,23,22,21,21,20,21,22,22,23,23,24,24,25,25,25,25,27,28,27,27,28,29
Goa,Panaji,Desi,Kg.,32,32,35,32,32,32,32,32,32,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
